CBFB
CBLN4
CBR1
CBX3
CBX5
CBX6
CC2D1A
CCDC130
CCDC136
CCDC14
CCDC167
CCDC3
CCDC80
CCDC85B
CCDC88A
CCDC92
CCL3L1
CCL4L2
CCNB1
CCNB2
CCND1
CCND2
CCND3
CCNE2
CCNI
CCNL1
CCNL2
CCSAP
CCSER2
CCT2
CCT3
CCT5
CCT7
CCT8
CD164
CD248
CD276
CD300A
CD302
CD320
CD37
CD99L2
CDC20
CDC25B
CDC34
CDC42EP1
CDC42EP4
CDC42SE1
CDCA5
CDCA7L
CDH10
CDH11
CDH13
CDH19
CDH6
CDIP1
CDK1
CDK14
CDK16
CDK18
CDK19
CDK4
CDK5R1
CDK5R2
CDK6
CDKN1A
CDKN1C
CDKN2C
CDKN2D
CDKN3
CDT1
CEBPA
CEBPD
CEBPG
CELF2
CELF3
CELF4
CEMIP2
CENPB
CENPF
CENPM
CENPN
CENPU
CENPV
CERCAM
CERS2
CERS4
CFAP20
CFAP36
CFD
CFI
CFL1
CFL2
CFLAR
CH25H
CHADL
CHAF1A
CHCHD10
CHCHD2
CHD4
CHD7
CHD9
CHGA
CHGB
CHI3L1
CHI3L2
CHL1
CHMP3
CHN1
CHPF
CHPF2
CHPT1
CHRD
CHRNA1
CHST1
CHST11
CHST14
CHST2
CHSY1
CHTOP
CIITA
CIPC
CIRBP
CISD1
CITED1
CKAP2
CKAP4
CKB
CKS2
CLASP1
CLASP2
CLASRP
CLCN3
CLCN4
CLDN11
CLDN5
CLDND1
CLEC14A
CLEC7A
CLIC1
CLIC4
CLIP2
CLIP3
CLK1
CLMN
CLN8
CLPP
CLPTM1L
CLSTN1
CLSTN2
CLSTN3
CLTB
CLTC
CLU
CMAS
CMIP
CMTM3
CMTM5
CMTM6
CNBP
CNDP1
CNDP2
CNIH2
CNIH3
CNKSR2
CNN2
CNN3
CNP
CNPY2
CNPY3
CNRIP1
CNTNAP4
COA4
COL15A1
COL20A1
COL5A3
COLEC12
COLGALT1
COLGALT2
COMMD6
COMT
COPB2
COPE
COPS6
COPS9
COPZ1
CORO1A
CORO1B
CORO1C
CORO2B
CORO7
COTL1
COX4I1
COX5A
COX5B
COX6A1
COX6B1
COX6C
COX7A1
COX7A2
COX7B
COX7C
COX8A
CPD
CPE
CPEB2
CPEB4
CPLX1
CPLX2
CPM
CPNE1
CPNE2
CPNE3
CPNE4
CPNE5
CPOX
CPSF1
CPSF6
CPVL
CPXM1
CRB2
CREB3L2
CREB5
CREBL2
CREBZF
CREG1
CREG2
CRELD2
CRIP1
CRIP2
CRISPLD1
CRKL
CRMP1
CRTAP
CRYAB
CRYM
CSE1L
CSGALNACT1
CSK
CSNK1E
CSNK1G2
CSPG5
CSRNP3
CSRP1
CSRP2
CST3
CSTB
CSTF3
CTBS
CTDNEP1
CTDSP1
CTDSP2
CTNNA1
CTNNA2
CTNNB1
CTNND1
CTNND2
CTSA
CTSB
CTSC
CTSD
CTSF
CTSH
CTSK
CTSL
CTSS
CTSZ
CTTN
CTXN1
CUEDC1
CUL1
CYB5R3
CYBA
CYBB
CYBC1
CYCS
CYFIP1
CYFIP2
CYGB
CYP27A1
CYP4V2
CYREN
CYTH1
CYTH2
DAAM2
DAB2
DACT3
DAG1
DAP
DAPK1
DAZAP1
DAZAP2
DBI
DBN1
DCAF7
DCAF8
DCLK1
DCLK2
DCTN1
DCTN2
DCTN3
DCTN6
DCTPP1
DCX
DCXR
DDAH1
DDAH2
DDIT3
DDIT4
DDOST
DDT
DDX1
DDX17
DDX24
DDX39A
DDX3X
DDX49
DDX5
DDX56
DDX6
DEAF1
DECR1
DEK
DELE1
DENND2A
DENND3
DENND5A
DEPP1
DGCR2
DGKG
DHCR24
DHCR7
DHPS
DHRS3
DHX9
DIAPH1
DIDO1
DIO2
DIP2B
DIRAS1
DIRAS2
DLC1
DLG1
DLG2
DLGAP1
DLGAP4
DMD
DMPK
DMTN
DNAJA1
DNAJA4
DNAJB1
DNAJB11
DNAJB2
DNAJC10
DNAJC6
DNASE2
DNER
DNM1
DNM1L
DNM2
DNM3
DNMT1
DOC2A
DOCK1
DOCK10
DOCK4
DOCK5
DOK1
DOT1L
DPF1
DPP6
DPP9
DPY19L1
DPYD
DPYSL2
DPYSL3
DPYSL5
DRAM2
DSEL
DSN1
DST
DSTN
DTNA
DTX3L
DTX4
DTYMK
DUSP1
DUSP23
DUSP26
DUSP6
DUT
DVL3
DYNC1H1
DYNC1I1
DYNC1I2
DYNC1LI2
DYNLL1
DYNLL2
DYNLT1
DYNLT3
DZIP1
EBF4
ECE1
ECHDC1
ECM1
ECSCR
EDEM2
EEF1A1
EEF1A2
EEF1AKMT3
EEF1B2
EEF1D
EEF1G
EEF2
EEPD1
EFHD1
EFHD2
EFR3A
EFR3B
EFTUD2
EGFL7
EGLN2
EGLN3
EGR1
EGR2
EGR3
EHBP1L1
EHD2
EHD3
EHD4
EHMT2
EI24
EID1
EIF1
EIF1AX
EIF1B
EIF2AK1
EIF2B5
EIF2S3
EIF3B
EIF3D
EIF3I
EIF3K
EIF3L
EIF4A1
