HALLMARK_APICAL_SURFACE
HALLMARK_KRAS_SIGNALING_DN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
HALLMARK_PEROXISOME
HALLMARK_IL2_STAT5_SIGNALING
HALLMARK_NOTCH_SIGNALING
HALLMARK_E2F_TARGETS
HALLMARK_CHOLESTEROL_HOMEOSTASIS
HALLMARK_COMPLEMENT
HALLMARK_TGF_BETA_SIGNALING
HALLMARK_WNT_BETA_CATENIN_SIGNALING
HALLMARK_COAGULATION
HALLMARK_UNFOLDED_PROTEIN_RESPONSE
HALLMARK_HEDGEHOG_SIGNALING
HALLMARK_MTORC1_SIGNALING
HALLMARK_ANDROGEN_RESPONSE
HALLMARK_KRAS_SIGNALING_UP
HALLMARK_APOPTOSIS
HALLMARK_GLYCOLYSIS
HALLMARK_INFLAMMATORY_RESPONSE
HALLMARK_MITOTIC_SPINDLE
HALLMARK_P53_PATHWAY
HALLMARK_FATTY_ACID_METABOLISM
HALLMARK_UV_RESPONSE_UP
HALLMARK_HYPOXIA
HALLMARK_ANGIOGENESIS
HALLMARK_ESTROGEN_RESPONSE_LATE
HALLMARK_ESTROGEN_RESPONSE_EARLY
HALLMARK_MYC_TARGETS_V1
HALLMARK_APICAL_JUNCTION
HALLMARK_XENOBIOTIC_METABOLISM
HALLMARK_INTERFERON_GAMMA_RESPONSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING
HALLMARK_INTERFERON_ALPHA_RESPONSE
HALLMARK_HEME_METABOLISM
HALLMARK_OXIDATIVE_PHOSPHORYLATION
HALLMARK_DNA_REPAIR
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
HALLMARK_TNFA_SIGNALING_VIA_NFKB
HALLMARK_UV_RESPONSE_DN
HALLMARK_ALLOGRAFT_REJECTION
HALLMARK_G2M_CHECKPOINT
HALLMARK_PROTEIN_SECRETION
HALLMARK_IL6_JAK_STAT3_SIGNALING
HALLMARK_MYC_TARGETS_V2
