AR
ARNT
ARNTL
ASCL1
ATF5
BACH1
BARHL1
BCL11A
CEBPB
CEBPZ
CLOCK
CREB1
CREB3
CREM
CUX1
DBP
E2F2
E2F3
E2F4
E2F7
E2F8
EGR2
ELF2
ELF3
ELK1
ELK3
ELK4
EOMES
EPAS1
ERF
ESRRA
ETS1
ETS2
ETV4
ETV5
ETV6
ETV7
FLI1
FOSL1
FOSL2
FOXD2
FOXG1
FOXK1
FOXM1
FOXO3
FOXP1
FOXP2
FOXP3
GABPA
GATA2
GFI1B
GLI2
GLIS1
GMEB1
GTF2B
HBP1
HES1
HEY1
HIF1A
HOXA13
HOXA4
HOXA9
HOXB13
HOXC6
HSF1
HSF2
IKZF1
IRF2
IRF3
JUNB
JUND
KLF10
KLF3
KLF4
KLF9
KMT2A
LEF1
LHX2
MAF
MAFB
MAFF
MAFG
MAFK
MAX
MAZ
MBD2
MECOM
MECP2
MEF2A
MEF2C
MEIS1
MITF
MNT
MXI1
MYBL2
MYC
MZF1
NFAT5
NFATC1
NFE2L2
NFIC
NFYA
NFYB
NFYC
NKX2-5
NKX3-1
NR2C2
NR3C1
NR5A2
NRF1
PAX6
PDX1
POU2F1
POU5F1
PPARG
PRDM1
RARA
RARG
RBPJ
RELA
REST
RFX2
RFX3
RFX5
RUNX1
RUNX2
RUNX3
RXRA
SMAD3
SMAD4
SNAI2
SOX10
SOX17
SOX2
SOX3
SOX4
SP1
SP2
SP3
SP4
SPDEF
SPI1
SREBF1
SREBF2
STAT1
STAT2
STAT3
STAT4
STAT5A
STAT5B
STAT6
TAL1
TBP
TBX21
TCF4
TCF7L2
TEAD4
TFDP1
TP53
TP73
UBP1
USF2
VDR
VEZF1
ZBTB33
ZBTB7B
ZEB1
ZFHX3
ZFX
ZKSCAN1
ZNF12
ZNF217
ZNF236
ZNF250
ZNF266
ZNF281
ZNF711
ZNF76
ZNF84
